nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
12942092,"2017년 7월 사업소_상수도사업본부_영등포아리수정수센터_정수시설과 업무추진비 내역",http://opengov.seoul.go.kr/public/12942092,사업소,상수도사업본부,영등포아리수정수센터,정수시설과,,2017,7,,,,"영등포아리수정수센터 정수시설과","2017-08-10 10:22",엘마트,"직원 및 내방인 접객을 위한 다과물품 구매","유영춘과장 외 14인",카드,72500
12942092,"2017년 7월 사업소_상수도사업본부_영등포아리수정수센터_정수시설과 업무추진비 내역",http://opengov.seoul.go.kr/public/12942092,사업소,상수도사업본부,영등포아리수정수센터,정수시설과,,2017,7,,,,"영등포아리수정수센터 정수시설과","2017-07-25 13:05",버섯샤브,"직원격려를 위한 간담회 식사비","유영춘과장 외 5명",카드,60000
12942092,"2017년 7월 사업소_상수도사업본부_영등포아리수정수센터_정수시설과 업무추진비 내역",http://opengov.seoul.go.kr/public/12942092,사업소,상수도사업본부,영등포아리수정수센터,정수시설과,,2017,7,,,,"영등포아리수정수센터 정수시설과","2017-07-25 09:35",엘마트,"직원 및 내방인 접객을 위한 다과물품 구매","유영춘과장 외 14인",카드,100000
12942092,"2017년 7월 사업소_상수도사업본부_영등포아리수정수센터_정수시설과 업무추진비 내역",http://opengov.seoul.go.kr/public/12942092,사업소,상수도사업본부,영등포아리수정수센터,정수시설과,,2017,7,,,,"영등포아리수정수센터 정수시설과","2017-07-14 15:02",싱싱마트,"직원 및 내방인 접객을 위한 다과물품 구매","이병규주무관외 9인",카드,100000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-31 12:16","（주）김삼보 중구 남대문로1길 51","예산 토론회 시민참여 확대방안 관련 간담회비 집행","예산정책담당관, 입법정책자문관 등 5명",카드,35000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-28 12:08","월매네남원추어탕 중구 서소문로 109-8","기획분석 보고서(안전분야 시역점사업)현황 관련 간담회비 집행","예산정책담당관, 사업평가팀장 등 5명",카드,55500
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-27 12:26","속초생태집 중구 남대문로 25-17","예산 토론회 계획수립 자문 간담회비 집행","예산정책담당관, 입법정책자문관 등 5명",카드,36000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-26 12:28","어미가  중구 서소문로 129","시책분석 계획수립 관련 간담회비 집행","예산정책담당관, 정책조사팀장 등 7명",카드,57000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-24 19:34","미자네닭전문점 중구 서소문로 129-1","예산 토론회 세션별 진행방식 논의 간담회비 집행","예산정책담당관, 송경수 주무관 등 4명",카드,61000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-21 12:06","미시령너머 중구 세종대로9길 41","상반기 비용추계 현황 분석 간담회비 집행","예산정책담당관, 사업평가팀장 등 5명",카드,40000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-20 12:35","삼우정 중구 서소문로 134-12","예산과 정책 제22호 기고자 선정현황 관련 간담회비 집행","예산정책담당관, 예산분석팀장 등 12명",카드,105000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-19 15:10","서울시청매점  중구 서소문동","부서운영 소모품 구입비 집행",예산정책담당관,카드,418400
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-19 12:03","소공동뚝배기집（시청  중구 서소문로11길 18","기획분석 보고서 진행사항 검토 간담회비 집행","예산정책담당관, 정책조사팀장 등 5명",카드,45000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-19 19:02","미자네닭전문점 중구 서소문로 129-1","예산 토론회 발전방향 논의 간담회비 집행","예산정책담당관, 입법정책자문관",카드,16000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-18 12:07","월매네남원추어탕  중구 서소문로 109-8","팀조사분석 최정검토 간담회비 집행","예산정책담당관, 예산분석팀장 등 6명",카드,58500
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-17 11:57","사직골  중구 소공로 100","기획분석 보고서(서울시 출연기관 분석)현황 관련 간담회비 집행","예산정책담당관, 정책조사팀장 등 3명",카드,36000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-14 11:42","진주회관 중구 세종대로11길 26","조사분석 검토 관련 간담회비 집행","예산정책담당관, 예산분석팀장 등 10명",카드,100000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-14 20:10","서소문연탄구이 중구 서소문로11길","(조사분석)급식제도 운영의 효율화 관련 자료검토 간담회","예산정책담당관, 사업평가팀장 등 3명",카드,48000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-13 11:58","서울삼계탕  중구 남대문로1길 57","조사분석 진행사항 검토 간담회비 집행","예산분석팀장, 정책조사팀장 등 10명",카드,140000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-12 12:07","정든다락 중구 덕수궁길 9","서울시 환경관련 정책 예산의 적정성 조사 관련 자료검토 간담회비 집행","예산분석팀장, 박경수 주무관 등 5명",카드,64000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-06 12:44","철판＆부대찌개브라더 중구 태평로1가","조사분석 및 기획분석 자료 검토 간담회비 집행","사업평가팀원 3명",카드,77700
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-05 20:42","무교동낙지 중구 덕수궁길 7","『특권학교를 어떻게 일반학교로 전환 할 것인가? 』토론회 결과 검토 간담회비 집행","장인홍 의원, 김한학 전교저 정책실장 등 10명",카드,200000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-05 11:55","호아빈 중구 서소문로 139","안전분야 시역점사업 기획분석 보고서 현황 관련 간담회비 집행","사업평가팀장, 한기백 분석관 등 4명",카드,60000
12942127,"2017년 7월 의회사무처_예산정책담당관 업무추진비 내역",http://opengov.seoul.go.kr/public/12942127,의회사무처,예산정책담당관,,,,2017,7,,,,"의회사무처 예산정책담당관","2017-07-04 12:31","퍼스트플로어（ＦＩＲ  중구 세종대로","(조사분석)지역별 공공도서관 현황 관련 간담회비 집행","예산분석팀장, 박경순 주무관 등 4명",카드,78000
12887597,"2017년 7월 사업소_어린이병원_약제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12887597,사업소,어린이병원,약제과,,,2017,7,,,,약제과,"2017-07-01 00:00",집행,내역,없음,카드,0
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-28 21:14","동원참치(중구 태평로2가 58)","직원노고 격려를 위한 간담회 소요경비 지급","이의신청팀장 외10명",카드,251000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-27 12:11","이대복집(중구 세종대로11길 26)","지방세특례제한법 일부개정 법률안 검토 간담회 소요경비 지급","세제정책팀장 외 3명",카드,54000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-26 19:59","삼성빨간양념(중구 북창동 19-2)","부가가치세 경정청구 추진 간담회 소요경비 지급","세제과장 외 3명",카드,69000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-21 12:26","남도한식고운님(중구 세종대로 82)","이동성 있는 과세물건 법개정 관련 간담회 소요경비 지급","세제정책팀장 외 4명",카드,114000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-20 20:57","사직골(중구 소공로 100)","세제현안 추진관련 간담회 소요경비 지급","세제운영팀장 외 6명",카드,181000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-20 12:25","㈜바닷가작은부엌(중구 덕수궁길 7)","지방세심의위원회(과세전적부심) 개최준비 간담회 소요경비 지급","세무소송팀장 외 4명",카드,99000
12859484,"2017년 7월 서울시본청_재무국_세제과 업무추진비 내역",http://opengov.seoul.go.kr/public/12859484,서울시본청,재무국,세제과,,,2017,7,17200000,10434400,,"재무국 세제과","2017-07-18 12:20","신가원설렁탕(중구 을지로1길 10)","재정분권 관련 대응전략 마련 간담회 소요경비 지급","세제운영팀장 외 1명",카드,16000
