nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-28 22:44","김앤장 (중구 무교로 6)","정년명예퇴임식 개선사항 검토를 위한 간담회비 지급","인사기획팀장 등 12명",카드,300000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-28 15:48","황금정 (종로구 당주동1)","퇴임식 행사 진행순서 논의 등을 위한 간담회비 지급","성과관리팀장 등 13명",카드,380000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-27 20:45","CJ푸드빌 (중구 을지로3길)","퇴임식 행사용역 중간 점검 등을 위한 간담회비 지급","인사기획팀장 등 15명",카드,425000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-26 21:28","우리집순두부 (중구 을지로3길)","직원 인사교류 관련 검토를 위한 간담회비 지급","인사기획팀장 등 5명",카드,117000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-26 19:36","소호정 (중구 태평로1가)","공무직 인사제도 개선논의를 위한 간담회비 지급","공무공공안전팀장 등 6명",카드,170000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-26 21:40","빕스명동중앙점 (중구 을지로3길)","직원 고충심사 관련 사전 검토를 위한 간담회비 지급","인사과장 등 16명",카드,429500
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-26 12:39","동해수산 (중구 무교동 19)","승진 전보관련 격무직원 격려 등을 위한 간담회비 지급","인사과장 등 4명",카드,40000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-21 20:35","창고43무교점 (중구 무교로21)","정년 명예퇴임식 진행세부사항 논의를 위한 간담회비 지급","성과관리팀장 등 9명",카드,236000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-21 18:35","CJ푸드빌 (중구 을지로3길)","인사제도 개선방안 검토를 위한 간담회비 지급","인사과장 등 16명",카드,439000
14356805,"2017년 12월 서울시본청_행정국_인사과 업무추진비 내역",http://opengov.seoul.go.kr/public/14356805,서울시본청,행정국,인사과,,,2017,12,,,,"행정국 인사과","2017-12-21 21:07","곰국시집 (중구 무교동 12-1)","기술직 전보관련 현안 논의를 위한 간담회비 지급","기술인사팀장 등 5명",카드,118000
