nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 총무과","2022-03-31 00:00","동국대학교 병원","소속 상근 직원(강동수소사업소 김00 빙부상)의 경조사비(부의) 지급",부본부장,현금,50000
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 총무과","2022-03-31 00:00","우리병원 장례식장","소속 상근 직원(강동수소사업소 김00 빙부상)의 경조사비(부의) 지급",본부장,현금,50000
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 총무과","2022-03-10 12:50","햇빛촌 마트(중구 중림로 10)","직접고용근로자 등 휴게실 커피 등 소모품 구매","총무과 공무직 등 전직원",카드,160000
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 총무과","2022-03-30 15:10","예성청과(송파구 양재대로 932 가락시장)","산하기관 협장방문용 직원 격려","수도사업소(동부, 강서, 남부) 및 정수센터(강북, 영등포) 전직원",카드,485000
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 홍보민원과","2022-03-02 13:49","홍루이젠(서울 종로구 송월길99)","홍보민원과 부서운영업무추진비(직원격려 간식 구매)","홍보민원과 전직원",카드,36100
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 홍보민원과","2022-03-02 12:49","커피방앗간(중구 서소문로6길 34)","홍보민원과 부서운영업무추진비(부서운영물품-다과류)","홍보민원과 전직원",제로페이,30000
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 기획예산과","2022-03-21 09:42","지수마트(관악구 조원중앙로1길 55)","기획예산과 부서운영업무추진비(부서운영물품-다과류)","기획예산과 전직원",제로페이,175500
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 홍보민원과","2022-03-04 10:16","햇빛촌 마트(중구 중림로 10)","홍보민원과 부서운영업무추진비(부서운영물품-다과류)","홍보민원과 전직원",제로페이,111170
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 교육협력과","2022-03-31 15:12","햇빛촌 마트(중구 중림로 10)","교육협력과 부서운영업무추진비(부서운영물품-다과류)","교육협력과 전직원",제로페이,163350
25741578,"2022년 3월 사업소 상수도사업본부 본부 경영관리부 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/expense/25741578,사업소,상수도사업본부,본부,경영관리부,,2022,3,0,0,,"상수도사업본부 경영관리부 총무과","2022-03-31 12:25","명과 서울  서대문구  충정로4길  22-9","주요사업 공정률 및 추진사항 점검 등 현안 간담회(경영실적평가-신용카드, 3.31. 명과0)","경영관리부장 등 총 4명",카드,42000
