nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount,bimok
22767676,"2021년 4월 소방재난본부(소방서) 119특수구조단 소방항공대 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22767676,소방재난본부(소방서),119특수구조단,소방항공대,,,2021,4,,,,"119특수구조단 소방항공대","2021-04-22 14:50","7번가피자 마곡발산점(강서구 공항대로 247)","부서운영 간담회",전직원,제로페이,200000,부서
22767676,"2021년 4월 소방재난본부(소방서) 119특수구조단 소방항공대 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22767676,소방재난본부(소방서),119특수구조단,소방항공대,,,2021,4,,,,"119특수구조단 소방항공대","2021-04-09 14:01","이마틑 가양점(강서구 양천로 559)",커피및차류구매,,제로페이,139460,부서
22793573,"2021년 4월 사업소 은평병원 약제과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22793573,사업소,은평병원,약제과,,,2021,4,,,,"은평병원 약제과","2021-04-26 15:04","신비로마트(은평구 응암로22길 22-1)","부서운영 다과류 구입 비용","약제과장 등 13명",카드,70270,부서
22812366,"2021년 4월 사업소 서울식물원 전시교육과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22812366,사업소,서울식물원,전시교육과,,,2021,4,,,,"서울식물원 전시교육과","2021-04-15 12:30","마곡할인마트(강서구 마곡서로 157)","식물전문도서관, 어린이정원학교 내방객 또는 민원인 등 응대용 다과 구입","손지영, 양지선, 윤난형, 정윤주",카드,81000,부서
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-30 12:37","장안삼계탕 (중구 세종대로18길)","서울아레나 복합문화시설 민간투자사업 관련 간담회비 지급","오대중팀장외 3인",제로페이,64000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-29 12:34","무교동낙지 (중구 덕수궁길7)","동북4구센터 홍보 뉴스레터 제작 관련 간담회비 지급","유영섭팀장외 3인",제로페이,90000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-28 14:26","서울시청별관매점 (중구 덕수궁길15)","부서운영 관련 물품 구입비 지급(부서)","동북권사업과장외 21인",제로페이,445000,부서
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-23 11:42","동원VIP참치 (중구 세종대로11길)","우이 친수생태공원 조성 관련 간담회비 지급","노경래팀장외 3인",제로페이,64000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-21 12:17","장안삼계탕 (중구 세종대로18길)","도시재생현장지원센터 및 거버넌스 운영 관련 간담회비 지급","유영섭팀장외 3인",제로페이,100000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-14 12:11","아리연 (중구 세종대로12길)","주요사업 및 실행계획 보고 관련 간담회비 지급","오대중팀장외 3인(팀장4분)",제로페이,88000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-13 12:20","장호왕곱창 (중구 서소문로 83-1)","창동상계 신경제중심지조성 현안보고 관련 간담회비 지급","오대중팀장외 3인",제로페이,47000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-09 12:30","만족오향족발 (중구 서소문로 134-7)","서울아레나 설계경제성 검토 관련 간담회비 지급","안규홍팀장외 3인",제로페이,100000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-08 12:32","삼우정 (중구 서소문로 134-12)","창동역 인근 중간지원조직 협력을 통한 홍보방안 관련 간담회비 지급","이희정사무관외 3인",제로페이,105000,시책
22822243,"2021년 4월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22822243,서울시본청,지역발전본부,동북권사업과,,,2021,4,,,,동북권사업과,"2021-04-07 12:48","한국관 (중구 서소문로 115)","4.19사거리 상인 협동조합 관련 간담회비 지급","노경래팀장외 3인",제로페이,102000,시책
