nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount,bimok
22343846,"2021년 2월 사업소 서울종합방재센터 민방위경보통제소 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22343846,사업소,서울종합방재센터,민방위경보통제소,,,2021,2,,,,민방위경보통제소,"2021-02-08 10:28","농협하나로마트 용산점 (용산구 청파로 122)","내방객접대 및 부서운영 물품구입","전 직 원",제로페이,118520,
22353587,"2021년 2월 사업소 서부공원녹지사업소 환경보전과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22353587,사업소,서부공원녹지사업소,환경보전과,,,2021,2,,,,환경보전과,"2021-02-25 12:31","김경자대구왕뽈찜(마포구 월드컵로 235, 2층)","난지연못 및 사면관리 격무자 노고치하 간담회 음식비","환경보전과장 외 3명",카드,55000,
22353587,"2021년 2월 사업소 서부공원녹지사업소 환경보전과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/22353587,사업소,서부공원녹지사업소,환경보전과,,,2021,2,,,,환경보전과,"2021-02-03 13:16","뻘낙시해물탕(서울 서초구 매현로 64, 1층)","난지연못 및 침출수 수질관리 관련자 간담회 음식비","환경관리팀장 외 3명",카드,140000,
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-25 12:31","순남시래기 (중구 세종대로 68)","운영조직 및 운영비용 소실무회의 관련 간담회비 지급","동북권사업과장외 3인",제로페이,86000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-23 11:44","본도시락 (중구 세종대로 66-5)","동북권 청년혁신파크 및 시민안전체험관 관련 간담회비 지급","동북권사업과장외 3인",제로페이,52000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-22 12:13","창고43 (중구 서소문로 120)","도시재생활성화계획수립 지원 관련 간담회비 지급","동북권사업과장외 3인",제로페이,60000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-19 11:18","서울시청별관매점 (중구 덕수궁길15)","부서운영 관련 물품 구입비 지급(부서)","동북권사업과장외 23인",제로페이,480000,부서
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-18 12:29","순남시래기 (중구 세종대로 68)","사업계획/사업비 검토반 소실무회의 관련 간담회비 지급","동북권사업과장외 3인",제로페이,86000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-10 12:25","아리연 (중구 세종대로12길)","시의회 상임위 업무보고 관련 간담회비 지급","동북권사업과장외 3인",제로페이,74000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-09 12:42","순남시래기 (중구 세종대로 68)","도봉운전면허시험장 이전 및 개발사업 관련 간담회비 지급","동북권사업과장외 3인",제로페이,63000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-08 12:19","장안삼계탕 (중구 세종대로18길)","창동상계 동서간 연결교량 건설사업 관련 간담회비 지급","동북권사업과장외 2인",제로페이,80000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-05 12:48","배재반점 (중구 서소문로 103)","동부간선도로 지하차도 건설 추진 관련 간담회비 지급","동북권사업과장외 2인",제로페이,88000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-04 12:16","강서면옥 (중구 세종대로11길)","현장지원센터 코디네이터 서류심사 관련 간담회비 지급","정금희주무관외 3인",제로페이,40000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-02 12:50","오리마당 (중구 세종대로 92)","도시재생 현장지원센터 및 거버넌스 운영 관련 간담회비 지급","동북권사업과장외 3인",제로페이,72000,시책
22356199,"2021년 2월 서울시본청 지역발전본부 동북권사업과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22356199,서울시본청,지역발전본부,동북권사업과,,,2021,2,,,,동북권사업과,"2021-02-01 12:25","순남시래기 (중구 세종대로 68)","공정보고 사전 점검 관련 간담회비 지급","동북권사업과장외 3인",제로페이,73000,시책
22357504,"2021년 2월 서울시본청 서울혁신기획관 전환도시담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/22357504,서울시본청,서울혁신기획관,전환도시담당관,,,2021,2,,,,"서울혁신기획관 전환도시담당관","2021-02-23 12:10","정원순두부(중구 세종대로11길 22)","공유기업/단체 지원 공모 사업 관련 업무 간담회","전환도시담당관 외 2명",제로페이,34000,시책
